Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
37852,20170113,0100,0.0,1,H
22719,20170113,0200,0.0,1,H
37852,20170113,0200,0.0,1,H
22719,20170113,0300,0.0,1,H
37852,20170113,0300,0.0,1,H
22719,20170113,0400,0.0,1,H
37852,20170113,0400,0.0,1,H
22719,20170113,0500,0.0,1,H
37852,20170113,0500,0.0,1,H
22719,20170113,0600,0.0,1,H
37852,20170113,0600,0.0,1,H
22719,20170113,0700,0.0,1,H
37852,20170113,0700,0.0,1,H
22719,20170113,0800,0.0,1,H
37852,20170113,0800,0.0,1,H
22719,20170113,0900,0.3,1,H
37852,20170113,0900,0.0,1,H
22719,20170113,1000,1.1,1,H
37852,20170113,1000,0.0,1,H
22719,20170113,1100,0.0,1,H
37852,20170113,1100,0.0,1,H
22719,20170113,1200,0.0,1,H
37852,20170113,1200,0.1,1,H
22719,20170113,1300,0.0,1,H
37852,20170113,1300,0.0,1,H
22719,20170113,1400,0.0,1,H
37852,20170113,1400,0.0,1,H
22719,20170113,1500,0.0,1,H
37852,20170113,1500,0.0,1,H
22719,20170113,1600,0.0,1,H
37852,20170113,1600,0.0,1,H
22719,20170113,1700,0.0,1,H
37852,20170113,1700,0.0,1,H
22719,20170113,1800,0.0,1,H
37852,20170113,1800,0.0,1,H
22719,20170113,1900,0.0,1,H
37852,20170113,1900,0.0,1,H
22719,20170113,2000,0.0,1,H
37852,20170113,2000,0.0,1,H
22719,20170113,2100,0.0,1,H
37852,20170113,2100,0.0,1,H
22719,20170113,2200,0.0,1,H
37852,20170113,2200,0.0,1,H
22719,20170113,2300,0.0,1,H
37852,20170113,2300,0.0,1,H
22719,20170114,0000,0.0,1,H
37852,20170114,0000,0.0,1,H
22719,20170114,0100,0.0,1,H
37852,20170114,0100,0.0,1,H
22719,20170114,0200,0.0,1,H
37852,20170114,0200,0.0,1,H
22719,20170114,0300,0.0,1,H
37852,20170114,0300,0.0,1,H
22719,20170114,0400,0.0,1,H
37852,20170114,0400,0.0,1,H
22719,20170114,0500,0.0,1,H
37852,20170114,0500,0.0,1,H
22719,20170114,0600,0.0,1,H
37852,20170114,0600,0.0,1,H
22719,20170114,0700,0.0,1,H
37852,20170114,0700,0.0,1,H
22719,20170114,0800,0.0,1,H
37852,20170114,0800,0.0,1,H
22719,20170114,0900,0.0,1,H
37852,20170114,0900,0.0,1,H
22719,20170114,1000,0.0,1,H
37852,20170114,1000,0.0,1,H
22719,20170114,1100,0.0,1,H
37852,20170114,1100,0.0,1,H
22719,20170114,1200,0.0,1,H
37852,20170114,1200,0.0,1,H
22719,20170114,1300,0.0,1,H
37852,20170114,1300,0.0,1,H
22719,20170114,1400,0.0,1,H
37852,20170114,1400,0.0,1,H
22719,20170114,1500,0.0,1,H
37852,20170114,1500,0.0,1,H
22719,20170114,1600,0.0,1,H
37852,20170114,1600,0.0,1,H
22719,20170114,1700,0.0,1,H
37852,20170114,1700,0.0,1,H
22719,20170114,1800,0.0,1,H
37852,20170114,1800,0.0,1,H
22719,20170114,1900,0.0,1,H
37852,20170114,1900,0.0,1,H
22719,20170114,2000,0.0,1,H
37852,20170114,2000,0.0,1,H
22719,20170114,2100,0.0,1,H
37852,20170114,2100,0.0,1,H
22719,20170114,2200,0.0,1,H
37852,20170114,2200,0.0,1,H
22719,20170114,2300,0.0,1,H
37852,20170114,2300,0.0,1,H
22719,20170115,0000,0.0,1,H
37852,20170115,0000,0.0,1,H
22719,20170115,0100,0.0,1,H
37852,20170115,0100,0.0,1,H
22719,20170115,0200,0.0,1,H
37852,20170115,0200,0.0,1,H
22719,20170115,0300,0.0,1,H
37852,20170115,0300,0.0,1,H
22719,20170115,0400,0.0,1,H
37852,20170115,0400,0.0,1,H
22719,20170115,0500,0.0,1,H
37852,20170115,0500,0.0,1,H
22719,20170115,0600,0.0,1,H
37852,20170115,0600,0.0,1,H
22719,20170115,0700,0.0,1,H
37852,20170115,0700,0.0,1,H
22719,20170115,0800,0.0,1,H
37852,20170115,0800,0.0,1,H
22719,20170115,0900,0.0,1,H
37852,20170115,0900,0.0,1,H
22719,20170115,1000,0.0,1,H
37852,20170115,1000,0.0,1,H
22719,20170115,1100,0.0,1,H
37852,20170115,1100,0.0,1,H
22719,20170115,1200,0.0,1,H
37852,20170115,1200,0.0,1,H
22719,20170115,1300,0.0,1,H
37852,20170115,1300,0.0,1,H
22719,20170115,1400,0.0,1,H
37852,20170115,1400,0.0,1,H
22719,20170115,1500,0.0,1,H
37852,20170115,1500,0.1,1,H
22719,20170115,1600,0.0,1,H
37852,20170115,1600,0.0,1,H
22719,20170115,1700,0.0,1,H
37852,20170115,1700,0.0,1,H
22719,20170115,1800,0.0,1,H
37852,20170115,1800,0.0,1,H
22719,20170115,1900,0.1,1,H
37852,20170115,1900,0.0,1,H
22719,20170115,2000,0.0,1,H
37852,20170115,2000,0.0,1,H
22719,20170115,2100,0.0,1,H
37852,20170115,2100,0.0,1,H
22719,20170115,2200,0.0,1,H
37852,20170115,2200,0.0,1,H
22719,20170115,2300,0.0,1,H
37852,20170115,2300,0.0,1,H
22719,20170116,0000,0.0,1,H
37852,20170116,0000,0.0,1,H
22719,20170116,0100,0.0,1,H
37852,20170116,0100,0.0,1,H
22719,20170116,0200,0.0,1,H
37852,20170116,0200,0.0,1,H
22719,20170116,0300,0.0,1,H
37852,20170116,0300,0.0,1,H
22719,20170116,0400,0.0,1,H
37852,20170116,0400,0.0,1,H
22719,20170116,0500,0.0,1,H
37852,20170116,0500,0.0,1,H
22719,20170116,0600,0.0,1,H
37852,20170116,0600,0.0,1,H
22719,20170116,0700,0.0,1,H
37852,20170116,0700,0.0,1,H
22719,20170116,0800,0.0,1,H
37852,20170116,0800,0.0,1,H
22719,20170116,0900,0.0,1,H
37852,20170116,0900,0.0,1,H
22719,20170116,1000,0.0,1,H
37852,20170116,1000,0.0,1,H
22719,20170116,1100,0.0,1,H
37852,20170116,1100,0.0,1,H
22719,20170116,1200,0.0,1,H
37852,20170116,1200,0.0,1,H
22719,20170116,1300,0.0,1,H
37852,20170116,1300,0.0,1,H
22719,20170116,1400,0.0,1,H
